,Año,Trim,Prov,Accesx100hog,BandaAncha,BandaAngos,Total,ADSL,Cablemodem,FibraOpt,Wireless,Otros_Tec,MediaMbps,AR1_0.51Mbs,AR2_0.75Mbs,AR3_3.5Mbs,AR4_8Mbs,AR5_15Mbs,AR6_25Mbs,AR7_+30Mbs,Otros_Mbs
119,2021,3,Tucumán,54.64,232447,25,232472,104489.0,53868.0,70964.0,2408.0,743.0,42,32,97,39446,50293,21986,5300,115154,164
120,2021,2,Buenos Aires,70.0,4127167,5184,4132351,603255.0,2503830.0,854173.0,113546.0,57547.0,53,37192,31178,1096049,244001,140322,236897,2337604,9108
121,2021,2,Capital Federal,110.14,1398747,1608,1400355,148989.0,1175097.0,41318.0,5580.0,29371.0,73,294,603,157558,73568,43859,86655,1037752,66
122,2021,2,Catamarca,52.34,55743,1,55744,20305.0,9426.0,22331.0,1449.0,2233.0,42,71,0,7219,9091,6828,4941,25388,2206
123,2021,2,Chaco,43.33,140726,3,140729,39826.0,62948.0,27584.0,8018.0,2353.0,37,301,112,23444,21574,24032,16069,47239,7958
124,2021,2,Chubut,72.29,138412,825,139237,49271.0,41497.0,6081.0,23682.0,18706.0,8,104,105,89639,22605,16604,3896,1112,5172
125,2021,2,Córdoba,80.12,930818,62,930880,239780.0,467782.0,151855.0,55944.0,15519.0,40,99,2452,201757,136516,66950,70824,442357,9925
126,2021,2,Corrientes,43.54,129498,3,129501,46648.0,67262.0,3731.0,6557.0,5303.0,30,67,645,29419,27037,24524,10059,32697,5053
127,2021,2,Entre Ríos,61.66,257617,15,257632,77836.0,124957.0,17856.0,23786.0,13197.0,28,107,3024,63518,55349,39468,18484,61605,16077
128,2021,2,Formosa,33.23,51551,0,51551,19571.0,12509.0,3610.0,15690.0,171.0,24,381,0,22364,7310,7460,1341,11077,1618
129,2021,2,Jujuy,56.18,111848,0,111848,24738.0,60800.0,19611.0,2731.0,3968.0,26,48,175,24182,16577,37908,607,29950,2401
130,2021,2,La Pampa,82.08,97551,116,97667,9017.0,57014.0,17132.0,13209.0,1295.0,12,298,554,64146,7769,8128,3399,9311,4062
131,2021,2,La Rioja,76.98,81599,3,81602,11627.0,54255.0,9445.0,6245.0,30.0,39,18,1,5312,5971,23298,4825,42158,19
132,2021,2,Mendoza,40.97,229052,619,229671,91503.0,70834.0,44696.0,21811.0,827.0,13,36,31,137462,10886,56117,4403,20686,50
133,2021,2,Misiones,45.01,156176,0,156176,44960.0,87861.0,10376.0,5317.0,7662.0,29,51,5,41643,25907,25811,16172,38308,8279
134,2021,2,Neuquén,69.14,137877,373,138250,30083.0,72690.0,15619.0,19218.0,640.0,36,112,327,57713,8631,5871,5943,54008,5645
135,2021,2,Río Negro,61.94,143583,501,144084,48189.0,43761.0,18727.0,15031.0,18376.0,24,125,557,69356,3663,15019,3867,31488,20009
136,2021,2,Salta,54.93,191637,2,191639,51396.0,96016.0,32050.0,5724.0,6453.0,29,101,20,42543,67012,7099,9654,58882,6328
137,2021,2,San Juan,39.28,78677,256,78933,40072.0,12369.0,6673.0,11372.0,8447.0,7,18,333,59989,784,12550,340,278,4641
138,2021,2,San Luis,83.48,122670,148,122818,8417.0,11308.0,28.0,66860.0,36205.0,22,60,0,11752,2703,5418,65946,22,36917
139,2021,2,Santa Cruz,44.01,48785,197,48982,12347.0,22967.0,6328.0,4269.0,3071.0,8,50,0,30595,8463,6888,1575,676,735
140,2021,2,Santa Fe,75.07,840449,151,840600,256741.0,431915.0,90424.0,43997.0,17523.0,31,467,896,202018,204077,80452,75195,262124,15371
141,2021,2,Santiago Del Estero,46.56,114089,1,114090,20734.0,83770.0,909.0,5081.0,3596.0,13,123,909,32034,62224,10359,811,6064,1566
142,2021,2,Tierra Del Fuego,67.89,35404,289,35693,12853.0,22504.0,6.0,14.0,316.0,9,17,0,21335,6913,4580,476,889,1483
143,2021,2,Tucumán,54.93,233026,25,233051,110429.0,48359.0,71683.0,1837.0,743.0,40,32,97,40224,51648,23732,5022,109616,2680
144,2021,1,Buenos Aires,69.11,4054936,5066,4060002,629679.0,2452056.0,821597.0,98806.0,57864.0,51,36939,31187,1108368,240520,163747,222061,2246313,10867
145,2021,1,Capital Federal,108.42,1378283,1390,1379673,159805.0,1145093.0,39980.0,5559.0,29236.0,68,135,244,159662,76753,56457,83255,1003041,126
146,2021,1,Catamarca,48.9,51967,1,51968,26316.0,4409.0,18688.0,322.0,2233.0,40,71,0,7423,8455,10115,712,22996,2196
147,2021,1,Chaco,43.14,139767,3,139770,43214.0,61251.0,25426.0,8004.0,1875.0,34,301,112,24357,22102,27556,14496,42462,8384
148,2021,1,Chubut,68.99,131515,825,132340,45501.0,40960.0,3444.0,23723.0,18712.0,8,106,109,86986,21401,15392,2844,1112,4390
149,2021,1,Córdoba,78.59,910826,55,910881,260350.0,444695.0,134634.0,54137.0,17065.0,36,93,2386,211799,135092,74659,71984,402191,12677
150,2021,1,Corrientes,42.66,126622,3,126625,49160.0,62876.0,3337.0,5949.0,5303.0,26,67,527,31544,26223,26169,9001,27641,5453
151,2021,1,Entre Ríos,60.44,251950,13,251963,83688.0,118424.0,16846.0,20836.0,12169.0,24,105,2911,67255,56060,42432,15774,54600,12826
152,2021,1,Formosa,32.73,50686,0,50686,20663.0,11412.0,2562.0,15669.0,380.0,21,56,0,22409,7569,7916,1215,9579,1942
153,2021,1,Jujuy,55.63,110456,0,110456,32254.0,54324.0,17322.0,2677.0,3879.0,27,49,175,23735,17293,40649,568,25609,2378
154,2021,1,La Pampa,81.78,96989,116,97105,8946.0,58711.0,15779.0,12369.0,1300.0,11,298,554,68200,7864,7611,2786,7368,2424
155,2021,1,La Rioja,49.81,52625,3,52628,17363.0,34984.0,1.0,250.0,30.0,13,18,1,36749,5968,4604,215,5074,-1
